局数,龙,和,虎,赢,下注(龙),下注(虎)
660,1200,0,1000,虎,0,0
661,1000,0,1200,虎,0,0
662,1000,0,1400,龙,0,0
663,1000,0,1400,虎,0,0
664,1400,0,1000,虎,0,0
665,3700,0,1000,龙,0,0
666,1200,0,2000,虎,0,0
667,1200,0,1300,虎,0,0
668,1200,0,3000,虎,0,0
669,3000,0,1000,虎,0,0
670,4000,0,3600,虎,3000,0
671,13500,0,8000,龙,0,7000
672,1000,0,1600,和,0,0
673,3000,0,4900,龙,2000,0
674,1000,0,1100,虎,0,0
675,7000,0,5000,和,0,4000
676,3100,0,2300,和,0,0
677,1100,0,1600,龙,0,0
678,1000,0,1000,虎,0,0
679,1800,0,1000,虎,0,0
680,4100,0,2000,龙,0,1000
681,1000,0,1100,龙,0,0
682,1000,0,1400,虎,0,0
683,1000,0,1100,虎,0,0
684,1000,1000,1100,虎,0,0
685,1200,0,1000,虎,0,0
686,1600,0,1000,虎,0,0
687,2600,0,1000,虎,0,0
688,2700,0,1000,和,0,0
689,2100,0,3000,龙,0,0
690,1900,0,3000,虎,0,0
691,4000,0,1000,虎,0,0
692,6200,0,4000,和,0,3000
693,3600,0,2000,龙,0,1000
694,1000,0,2100,虎,0,0
695,1000,0,3300,龙,0,0
696,5000,0,3000,虎,0,2000
697,2000,0,1000,虎,0,0
698,1000,0,1000,虎,0,0
699,1100,0,1000,虎,0,0
700,1200,0,1000,龙,0,0
701,1800,0,1000,虎,0,0
702,1000,0,1000,虎,0,0
703,1000,0,1000,虎,0,0
704,1000,0,1000,虎,0,0
705,1000,0,1000,龙,0,0
706,1000,0,1000,虎,0,0
707,1000,0,1000,虎,0,0
708,1000,0,1000,龙,0,0
709,1000,0,1300,龙,0,0
710,4000,0,2300,虎,0,1000
711,1600,0,1000,虎,0,0
712,1000,0,1000,和,0,0
713,5000,0,8100,虎,4000,0
714,1000,0,1000,虎,0,0
715,1200,0,1000,龙,0,0
716,3100,0,1000,龙,0,0
717,4600,0,2000,虎,0,1000
718,1400,1100,1000,龙,0,0
719,1000,0,1000,龙,0,0
720,1000,0,1000,龙,0,0
721,1000,0,1000,虎,0,0
722,1000,0,1000,龙,0,0
723,1000,0,1000,虎,0,0
724,1000,0,1000,龙,0,0
725,1000,0,1000,龙,0,0
726,1000,0,1000,虎,0,0
727,1000,0,1000,龙,0,0
728,1000,0,1000,龙,0,0
729,1000,0,1000,龙,0,0
730,1000,0,1000,虎,0,0
731,1300,0,1000,和,0,0
732,1000,0,1000,龙,0,0
733,1400,0,1000,和,0,0
734,1200,0,1600,虎,0,0
735,1000,100,3000,龙,0,0
736,1000,0,1000,虎,0,0
737,1000,0,1000,龙,0,0
738,1000,0,1000,虎,0,0
739,1600,0,1200,虎,0,0
740,2100,0,1400,虎,0,0
741,1700,0,1000,虎,0,0
742,2200,0,1000,龙,0,0
743,99000,0,13400,龙,0,12000
744,1300,0,4500,虎,0,0
745,15000,0,8000,龙,0,7000
746,10000,0,5000,龙,0,4000
747,11000,0,6000,虎,0,5000
748,1200,10000,1000,虎,0,0
749,1000,0,1000,虎,0,0
750,1000,0,1000,虎,0,0
751,1000,0,1000,龙,0,0
752,1000,0,1000,龙,0,0
753,1000,0,1000,和,0,0
754,1000,0,1000,龙,0,0
755,1000,0,1000,虎,0,0
756,2000,0,1000,龙,0,0
757,1000,0,3000,虎,0,0
758,11000,0,6000,龙,0,5000
759,1000,0,1000,虎,0,0
760,1000,0,1000,虎,0,0
761,21000,0,12000,龙,0,11000
762,1000,0,1000,龙,0,0
763,1800,0,1100,虎,0,0
764,1800,200,1500,虎,0,0
765,1200,0,1000,龙,0,0
766,3400,0,1000,龙,0,0
767,25000,1000,491600,龙,24000,0
768,5000,0,11100,龙,6000,0
769,11000,0,1000,龙,0,0
770,13000,0,3101400,虎,12000,0
771,13000,0,1001700,虎,12000,0
772,17400,0,201000,龙,12000,0
773,30500,0,201000,虎,24000,0
774,501000,0,19000,龙,0,18000
775,7000,0,401000,龙,6000,0
776,15000,0,2051000,虎,12000,0
777,6000,0,501400,虎,6000,0
778,1700,0,1000,龙,0,0
779,2200,0,1000,龙,0,0
780,25000,0,502800,虎,24000,0
781,605000,300,101000,龙,6000,0
